Symbol	Name
HIGD	OTC New Highs
HIGN	NYSE New Highs
HIGQ	NASD New Highs
HIGS	TSX New Highs
HIGV	Tsxv New Highs
HKO	H.K. Opt [Fltng]
HKX	H.K. 30 Warrants
HSI	Hang Seng Index
HUI	Gold Bugs Ndx
HUV	AMEX Gold Bugs Index Final Sett
HVX	Mkt Vector Env Serv Iopv
HWI	Comp Hardwr
HWO	Computer Hardware Index Fnl Set
ICK	ISE Chindia Index
IDX	S&P Midcap 400
IEB	Dynamic Large Cap Intell
IEK	Dynamic Mid Cap Intell
IEY	Dynamic Small Cap Intell
IIB	Semi Inds Plus
ILH	Dyn Lgcp Gro
ILJ	Dyn Mdcp Gro
ILK	Dyn Smcp Gro
ILP	Dyn Mdcp Val
ILR	Dynamic Agr Grwth Intldx
ILU	Dynamic Deep Val Inteldx
ILW	Dyn Lgcp Val
ILZ	Dyn Smcp Val
INDS	Nasdaq Industrial
INSR	Nasdaq Insurance Index
IPSA	IPSA - Chile
IQX	S&P 500 Equal Weight
IQZ	S&P 1000 Index
IRX	13-Week Treasury Bill
IUX	Russell 2000 Index
IVX	S&P 500 Value
IXB	S&P Materials Select
IXCO	Nasdaq Computer
IXE	S&P Energy Select
IXF	Nasdaq Financial 100
IXHC	Nasdaq Health Care Index
IXI	S&P Industrial Select
IXM	S&P Financial Select
IXR	S&P Consumer Staples Select
IXT	Technology Sel
IXTC	Nasdaq Telecommunications Index
IXU	S&P Utilities Select
IXV	S&P Health Care Select
IXY	S&P Consumer Discretionary Select
JBV	NYSE Arca Mini-Broker/Dealer  I-
JKC	Ml Long/Shrt III
JKSE	Jakarta Composite Index
JPN	Japan Index
JPV	AMEX Japan Index Final Settleme
JX	Tsx Venture Composite Index
KBK	NYSE Arca Mini-Pharmaceutical I-
KDX	KBW Finsec Dividend Yield Index
KDY	AMEX Hong Kong Index Float Rate
KFX	OMX Copenhagen
KGX	KBW Global Ex-U.S. Financials Index
KIX	KBW Insurance Index
KLCI	Kuala Lumpur Composite
KLX	Mkt Vectors Steel Iopv
KPX	KBW Property & Casualty Index
KRX	KBW Regional Banking Index
KS11	Seoul Composite
KSX	KBW Capital Markets Index
KYX	KBW Premium Yield Equity REIT Index
LOWA	AMEX New Lows
LOWD	OTC New Lows
LOWN	NYSE New Lows
LOWQ	NASD New Lows
LOWS	TSX New Lows
LOWV	Tsxv New Lows
LVXR	S&P C.S. Nv-Las Vegas Home Price Index
LXXR	S&P C.S. Ca-Los Angeles Home Price Index
M1HA	1-Month Highs AMEX
M1HD	1-Month Highs Otcbb
M1HE	1-Month Highs ETFS
M1HH	1-Month Highs Price Gt $10
M1HL	1-Month Highs Price Lt $10
M1HN	1-Month Highs NYSE
M1HP	1-Month Highs Sp500
M1HQ	1-Month Highs Nasdaq
M1HU	1-Month Highs Volume Lt 100K
M1HV	1-Month Highs Volume Gt 100K
M1HX	1-Month Highs Overall
